name,street,postcode_city,address
REWE Markt GmbH,Neusser Str. 206-208,50733 Köln / Nippes,"Neusser Str. 206-208, 50733 Köln / Nippes"
REWE Markt GmbH,Wilhelm-Sollmann-Str. 327,50737 Köln / Gartenstadt,"Wilhelm-Sollmann-Str. 327, 50737 Köln / Gartenstadt"
REWE Markt GmbH,Vogelsangerstr. 16,50823 Köln / Ehrenfeld,"Vogelsangerstr. 16, 50823 Köln / Ehrenfeld"
REWE Markt GmbH,Neusser Str. 665,50737 Köln / Weidenpesch,"Neusser Str. 665, 50737 Köln / Weidenpesch"
REWE Markt GmbH,Venloer Str. 310-312,50823 Köln / Ehrenfeld,"Venloer Str. 310-312, 50823 Köln / Ehrenfeld"
REWE Markt GmbH,Neusser Str. 292-294,50733 Köln / Nippes,"Neusser Str. 292-294, 50733 Köln / Nippes"
REWE Markt GmbH,Widdersdorfer Str. 219,50825 Köln / Braunsfeld,"Widdersdorfer Str. 219, 50825 Köln / Braunsfeld"
REWE Peter Knakowski oHG,Florenzer Straße 24-28,50765 Köln / Chorweiler,"Florenzer Straße 24-28, 50765 Köln / Chorweiler"
REWE Dugandzic GmbH & Co. oHG,Venloer Str. 601-603,50827 Köln / Bickendorf,"Venloer Str. 601-603, 50827 Köln / Bickendorf"
REWE Rene Irrgang oHG,Aachener Str. 382,50933 Köln / Braunsfeld,"Aachener Str. 382, 50933 Köln / Braunsfeld"
REWE Peter Ziegler oHG,Neusser Str. 100,50670 Köln / Neustadt-Nord,"Neusser Str. 100, 50670 Köln / Neustadt-Nord"
REWE Markt Gritzner oHG,Rösrather Str. 467,51107 Köln / Rath Heumar,"Rösrather Str. 467, 51107 Köln / Rath Heumar"
REWE Buhrandt oHG,Venloer Str. 41,50672 Köln / Neustadt-Nord,"Venloer Str. 41, 50672 Köln / Neustadt-Nord"
REWE Markt Utsch oHG,Humboldtstr. 131,51145 Köln / Porz Eil,"Humboldtstr. 131, 51145 Köln / Porz Eil"
REWE Behrooz Bagherzadeh oHG,Friedrich-Ebert-Platz 4,51143 Köln / Porz-Mitte,"Friedrich-Ebert-Platz 4, 51143 Köln / Porz-Mitte"
REWE Markt Schäfer oHG,Wilhelm-Ruppert-Str. 27-29,51147 Köln / Porz Wahn,"Wilhelm-Ruppert-Str. 27-29, 51147 Köln / Porz Wahn"
REWE Markt Ridders oHG,Eigelstein 80-88,50668 Köln / Altstadt Nord,"Eigelstein 80-88, 50668 Köln / Altstadt Nord"
REWE Markt GmbH,Neusser Str. 5-7,50670 Köln Neustadt-Nord,"Neusser Str. 5-7, 50670 Köln Neustadt-Nord"
REWE Markt GmbH,Bonner Str. 3-5,50677 Köln Neustadt-Süd,"Bonner Str. 3-5, 50677 Köln Neustadt-Süd"
REWE Markt GmbH,Händelstr. 15,50674 Köln / Neustadt-Süd,"Händelstr. 15, 50674 Köln / Neustadt-Süd"
